#This file contains all possible configurations. The only supported configurations are the public configurations.
#Section Name,Setting Name,Type,Default Value,Upgrade Policy,Setting Type,Config Found In,Description
Diagnostics,AppInstanceDataEtlReadIntervalInMinutes,int,3,Dynamic,INTERNAL,src\Managed\DCA\Settings.cs,"Interval (in minutes) at which to read ETL files containing application instance related events"
Diagnostics,TestOnlyAppInstanceDataEtlReadIntervalInSeconds,int,0,Dynamic,TEST,src\Managed\DCA\Settings.cs,"Interval (in seconds) at which to read ETL files containing application instance related events"
Diagnostics,TestOnlyAppDataDeletionIntervalInSeconds,int,10800,Dynamic,TEST,src\Managed\DCA\Settings.cs,"Interval at which we delete old data related to application instances"
Diagnostics,AppEtwTraceDeletionAgeInDays,int,3,Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"Number of days after which we delete old ETL files containing application ETW traces"
Diagnostics,TestOnlyAppEtwTraceDeletionAgeInMinutes,int,0,Dynamic,TEST,src\Managed\DCA\Settings.cs,"Number of minutes after which we delete old ETL files containing application ETW traces"
Diagnostics,AppDiagnosticStoreAccessRequiresImpersonation,bool,true,Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"Whether or not impersonation is required when accessing diagnostic stores on behalf of the application"
Diagnostics,TestOnlyDtrDeletionAgeInMinutes,int,1440,Dynamic,TEST,src\Managed\DCA\Settings.cs,"Number of minutes after which we delete DTR files that are located on the node"
Diagnostics,MaxDiskQuotaInMB,int,65536,Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"Disk quota in MB for Windows Fabric log files"
Diagnostics,DiskFullSafetySpaceInMB,int,1024,Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"Remaining disk space in MB to protect from use by DCA"
Diagnostics,TestOnlyOldDataDeletionIntervalInSeconds,int,30,Dynamic,TEST,src\Managed\DCA\Settings.cs,"Interval (in seconds) at which we perform deletion of old files, if necessary"
Diagnostics,TestOnlyFlushDataOnDispose,bool,false,Dynamic,TEST,src\Managed\DCA\Settings.cs,"Controls whether all plugins should perform a flush operation on dispose."
Diagnostics,PluginFlushTimeoutInSeconds,int,180,Dynamic,INTERNAL,src\Managed\DCA\Settings.cs,"Timeout (in seconds) for a plugin to complete its flush operations on dispose"
Diagnostics,ApplicationLogsFormatVersion,int,0,Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"Version for application logs format. Supported values are 0 and 1. Version 1 includes more fields from the ETW event record than version 0."
Diagnostics,ClusterId,string,L"",Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"The unique id of the cluster. This is generated when the cluster is created."
Diagnostics,EnableTelemetry,bool,true,Dynamic,PUBLIC,src\Managed\DCA\Settings.cs,"This is going to enable or disable telemetry."
Diagnostics,TestOnlyTelemetryPushTime,string,L"",Dynamic,TEST,src\Managed\DCA\Settings.cs,"Defines the specific time of the day to push telemetry."
Diagnostics,EnableCircularTraceSession,bool,false,Static,PUBLIC,src\Managed\DCA\Settings.cs,"Flag indicates whether circular trace sessions should be used."
Trace/Etw,Level,int,4,Dynamic,PUBLIC,Trace.cpp,"Trace etw level"
Trace/Etw,Filters,string,L"",Dynamic,INTERNAL,Trace.cpp,"Trace etw filters"
Trace/Etw,Sampling,int,0,Dynamic,INTERNAL,Trace.cpp,"Trace etw sampling interval"
Trace/File,Level,int,4,Dynamic,INTERNAL,Trace.cpp,"Trace file level"
Trace/File,Filters,string,L"",Dynamic,INTERNAL,Trace.cpp,"Trace file filters"
Trace/File,Path,string,Fabric.trace,Dynamic,INTERNAL,Trace.cpp,"Trace file path"
Trace/File,Option,,L"",Dynamic,INTERNAL,Trace.cpp,"Trace file options"
Trace/Console,Filters,string,L"",Dynamic,INTERNAL,Trace.cpp,"Trace console filters"
Trace/Console,Level,int,0,Dynamic,INTERNAL,Trace.cpp,"Trace console level"
PerformanceCounterLocalStore,IsEnabled,bool,true,Dynamic,PUBLIC,Setup\FabricDeployer\DeployerCommon\PerformanceCounters.cs,"Flag indicates whether performance counter collection on local node is enabled"
PerformanceCounterLocalStore,SamplingIntervalInSeconds,int,60,Dynamic,PUBLIC,Setup\FabricDeployer\DeployerCommon\PerformanceCounters.cs,"Sampling interval for performance counters being collected"
PerformanceCounterLocalStore,Counters,string,,Dynamic,PUBLIC,Setup\FabricDeployer\DeployerCommon\PerformanceCounters.cs,"Comma-separated list of performance counters to collect"
PerformanceCounterLocalStore,TestOnlyCounterFilePath,string,,Dynamic,TEST,Setup\FabricDeployer\DeployerCommon\PerformanceCounters.cs,"Path to the folder where the performance counter data is collected"
PerformanceCounterLocalStore,TestOnlyCounterFileNamePrefix,string,,Dynamic,TEST,Setup\FabricDeployer\DeployerCommon\PerformanceCounters.cs,"Prefix used in the names of the files containing performance counter data"
PerformanceCounterLocalStore,TestOnlyIncludeMachineNameInCounterFileName,bool,false,Dynamic,TEST,Setup\FabricDeployer\DeployerCommon\PerformanceCounters.cs,"Flag indicates whether the machine name is included in the names of the files containing performance counter data"
PerformanceCounterLocalStore,MaxCounterBinaryFileSizeInMB,int,1,Dynamic,PUBLIC,Setup\FabricDeployer\DeployerCommon\PerformanceCounters.cs,"Maximum size (in MB) for each performance counter binary file"
PerformanceCounterLocalStore,NewCounterBinaryFileCreationIntervalInMinutes,int,10,Dynamic,PUBLIC,Setup\FabricDeployer\DeployerCommon\PerformanceCounters.cs,"Maximum interval (in seconds) after which a new performance counter binary file is created"
Common,DebugBreakEnabled,bool,false,Static,TEST,src\Common\AssertWF.h,""
Common,TestAssertEnabled,bool,false,Static,TEST,src\Common\AssertWF.h,""
Setup,FabricDataRoot,string,"",NotAllowed,PUBLIC,Setup\FabricDeployer\Constants.cs,"The Windows Fabric data root directory"
Setup,FabricLogRoot,string,"",NotAllowed,PUBLIC,Setup\FabricDeployer\Constants.cs,"The windows fabric log root directory."
Setup,NodesToBeRemoved,string,"",Dynamic,PUBLIC,Setup\FabricDeployer\Constants.cs,"The nodes which should be removed as part of configuration upgrade. (Only for Standalone Deployments)"
Setup,ServiceRunAsAccountName,string,"",NotAllowed,PUBLIC,Setup\FabricDeployer\Constants.cs,"The account name under which to run fabric host service."
Setup,ServiceRunAsPassword,string,"",NotAllowed,TEST,Setup\FabricDeployer\Constants.cs,"The account password under which to run fabric host service."
Setup,ServiceStartupType,string,"",NotAllowed,TEST,Setup\FabricDeployer\Constants.cs,"The startup type of the fabric host service."
Setup,SkipFirewallConfiguration,bool,false,NotAllowed,PUBLIC,Setup\FabricDeployer\Constants.cs,"Whether to skip firewall settings.
TransactionalReplicator,InitialCopyQueueSize,uint,64,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"This value defines the initial size for the queue which maintains copy operations.  Note that it must be a power of 2."
TransactionalReplicator,MaxCopyQueueSize,uint,16384,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"This is the maximum value defines the initial size for the queue which maintains replication operations.  Note that it must be a power of 2.  If during runtime the queue grows to this size operations will be throttled between the primary and secondary replicators."
TransactionalReplicator,BatchAcknowledgementInterval,TimeSpan,Common::TimeSpan::FromMilliseconds(15),Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Specify timespan in seconds. Determines the amount of time that the replicator waits after receiving an operation before sending back an acknowledgement. Other operations received during this time period will have their acknowledgements sent back in a single message-> reducing network traffic but potentially reducing the throughput of the replicator."
TransactionalReplicator,MaxReplicationMessageSize,uint,52428800,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Maximum message size of replication operations. Default is 50MB."
TransactionalReplicator,ReplicatorAddress,wstring,"localhost:0",Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"The endpoint in form of a string -'IP:Port' which is used by the Windows Fabric Replicator to establish connections with other replicas in order to send/receive operations"
TransactionalReplicator,InitialPrimaryReplicationQueueSize,uint,64,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"This value defines the initial size for the queue which maintains the replication operations on the primary. Note that it must be a power of 2."
TransactionalReplicator,MaxPrimaryReplicationQueueSize,uint,8192,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"This is the maximum number of operations that could exist in the primary replication queue. Note that it must be a power of 2."
TransactionalReplicator,MaxPrimaryReplicationQueueMemorySize,uint,0,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"This is the maximum value of the primary replication queue in bytes."
TransactionalReplicator,InitialSecondaryReplicationQueueSize,uint,64,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"This value defines the initial size for the queue which maintains the replication operations on the secondary. Note that it must be a power of 2."
TransactionalReplicator,MaxSecondaryReplicationQueueSize,uint,16384,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"This is the maximum number of operations that could exist in the secondary replication queue. Note that it must be a power of 2."
TransactionalReplicator,MaxSecondaryReplicationQueueMemorySize,uint,0,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"This is the maximum value of the secondary replication queue in bytes."
TransactionalReplicator,RetryInterval,TimeSpan,Common::TimeSpan::FromSeconds(5),Static,INTERNAL,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Specify timespan in seconds. When an operation is lost or rejected this timer determines how often the replicator will retry sending the operation."
TransactionalReplicator,SecondaryClearAcknowledgedOperations,bool,false,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Bool which controls if the operations on the secondary replicator are cleared once they are acknowledged to the primary(flushed to the disk). Settings this to TRUE can result in additional disk reads on the new primary, while catching up replicas after a failover."
TransactionalReplicator,MaxStreamSizeInMB,int,1024,NotAllowed,INTERNAL,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"DEPRECATED"
TransactionalReplicator,MaxMetadataSizeInKB,int,4,NotAllowed,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Maximum size of the log stream metadata."
TransactionalReplicator,MaxRecordSizeInKB,int,1024,NotAllowed,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Maximum size of a log stream record."
TransactionalReplicator,CheckpointThresholdInMB,int,50,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"A checkpoint will be initiated when the log usage exceeds this value."
TransactionalReplicator,MaxAccumulatedBackupLogSizeInMB,int,800,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Max accumulated size (in MB) of backup logs in a given backup log chain. An incremental backup requests will fail if the incremental backup would generate a backup log that would cause the accumulated backup logs since the relevant full backup to be larger than this size. In such cases, user is required to take a full backup."
TransactionalReplicator,OptimizeForLocalSSD,bool,false,NotAllowed,INTERNAL,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"DEPRECATED"
TransactionalReplicator,MaxWriteQueueDepthInKB,int,0,NotAllowed,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"int for maximum write queue depth that the core logger can use as specified in kilobytes for the log that is associated with this replica. This value is the maximum number of bytes that can be outstanding during core logger updates. It may be 0 for the core logger to compute an appropriate value or a multiple of 4. "
TransactionalReplicator,SharedLogId,string,,NotAllowed,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Shared log identifier. This is a guid and should be unique for each shared log."
TransactionalReplicator,SharedLogPath,string,,NotAllowed,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Path to the shared log. If this value is empty then the default shared log is used."
TransactionalReplicator,OptimizeLogForLowerDiskUsage,bool,true,NotAllowed,INTERNAL,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"DEPRECATED "
TransactionalReplicator,Test_LoggingEngine,string,"ktl",NotAllowed,INTERNAL,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"DEPRECATED "
TransactionalReplicator,SlowApiMonitoringDuration,TimeSpan,Common::TimeSpan::FromSeconds(300),Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Specify duration for api before warning health event is fired."
TransactionalReplicator,MinLogSizeInMB,int,0,Static,PUBLIC,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Minimum size of the transactional log. The log will not be allowed to truncate to a size below this setting. 0 indicates that the replicator will determine the minimum log size according to other settings. Increasing this value increases the possibility of doing partial copies and incremental backups since chances of relevant log records being truncated is lowered."
TransactionalReplicator,TruncationThresholdFactor,int,2,Static,INTERNAL,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Determines at what size of the log, truncation will be triggered. Truncation threshold is determined by MinLogSizeInMB multiplied by TruncationThresholdFactor. TruncationThresholdFactor must be greater than 1. MinLogSizeInMB * TruncationThresholdFactor must be less than MaxStreamSizeInMB."
TransactionalReplicator,ThrottlingThresholdFactor,int,4,Static,INTERNAL,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Determines at what size of the log, the replica will start being throttled. Throttling threshold is determined by Max((MinLogSizeInMB * ThrottlingThresholdFactor),(CheckpointThresholdInMB * ThrottlingThresholdFactor)). ThrottlingThresholdInMB must be greater than TruncationThresholdInMB. TruncationThresholdInMB must be less than MaxStreamSizeInMB."
TransactionalReplicator,Test_LogMinDelayIntervalMilliseconds,int,0,Static,TEST,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Minimum delay when flushing log"
TransactionalReplicator,Test_LogMaxDelayIntervalMilliseconds,int,0,Static,TEST,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Maximum delay when flushing log"
TransactionalReplicator,Test_LogDelayRatio,double,0,Static,TEST,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Represents percent of flushes to be delayed in log"
TransactionalReplicator,Test_LogDelayProcessExitRatio,double,0,Static,TEST,ReliableStateManagerReplicatorSettingsConfigurationNames.cs,"Represents percent of slow flushes after which the process crashes to induce false progress"
ReliableStateProvider,SweepThreshold,int,0,Static,INTERNAL,TStoreConstants.cs,"State providers cache read items in memory. Once a threshold of cached items is reached, items can be swept from the cache via an LRU algorithm. 0 (the default) tells Service Fabric to automatically determine the maximum number of items to cache before sweeping. -1 disables sweeping (all items are cached and none are evicted). Other valid cached item limits are between 1 and 5000000, inclusive. Enumerations are not cached."
ReliableStateProvider,EnableStrict2PL,bool,false,Static,INTERNAL,TStoreConstants.cs,"This configurations is to enable or disable Strict 2PL. When Strict 2PL is enabled, read locks will be released at the beginning of commit without waiting for the commit to become stable. When Strict 2PL is disabled, Rigourous 2PL is used. This will cause read locks to be released when the commit is stable."
FabricClient,NodeAddresses,wstring,L"",Static,PUBLIC,src\client\ClientConfig.h,A collection of addresses (connection strings) on different nodes that can be used to communicate with the the Naming Service. Initially the Client connects selecting one of the addresses randomly. If more than one connection string is supplied and a connection fails because of a communication or timeout error; the Client switches to use the next address sequentially. See the Naming Service Address retry section for details on retries semantics. 
FabricClient,ConnectionInitializationTimeout,TimeSpan,Common::TimeSpan::FromSeconds(2),Dynamic,PUBLIC,src\client\ClientConfig.h,Specify timespan in seconds. Connection timeout interval for each time client tries to open a connection to the gateway 
FabricClient,PartitionLocationCacheLimit,int,100000,Static,PUBLIC,src\client\ClientConfig.h,Number of partitions cached for service resolution (set to 0 for no limit). 
FabricClient,ServiceChangePollInterval,TimeSpan,Common::TimeSpan::FromSeconds(120),Dynamic,PUBLIC,src\client\ClientConfig.h,Specify timespan in seconds. The interval between consecutive polls for service changes from the client to the gateway for registered service change notifications callbacks 
FabricClient,KeepAliveIntervalInSeconds,int,20,Static,PUBLIC,src\client\ClientConfig.h,The interval at which the FabricClient transport sends keep-alive messages to the gateway. For 0; keepAlive is disabled. Must be a positive value 
FabricClient,MaxServiceChangePollBatchedRequests,int,0,Dynamic,TEST,src\client\ClientConfig.h,The maximum number of requests that can be packaged together in a poll request. Used to test the notification paging of the requests from client to gateway. Default is 0; which shows that the feature is disabled. 
FabricClient,HealthOperationTimeout,TimeSpan,Common::TimeSpan::FromSeconds(120),Dynamic,PUBLIC,src\client\ClientConfig.h,Specify timespan in seconds. The timeout for a report message sent to Health Manager. 
FabricClient,HealthReportSendInterval,TimeSpan,Common::TimeSpan::FromSeconds(30),Dynamic,PUBLIC,src\client\ClientConfig.h,Specify timespan in seconds. The interval at which reporting component sends accumulated health reports to Health Manager. 
FabricClient,IsHealthReportingEnabled,bool,true,NotAllowed,INTERNAL,src\client\ClientConfig.h,Whether to enable health reporting 
FabricClient,MaxNumberOfHealthReportsPerMessage,int,500,Dynamic,INTERNAL,src\client\ClientConfig.h,The maximum number of reports that can be batched in the message sent to Health Manager. 
FabricClient,MaxNumberOfHealthReports,int,10000,Static,INTERNAL,src\client\ClientConfig.h,The maximum number of health reports that can be queued for processing by a reporting component. 
FabricClient,HealthReportRetrySendInterval,TimeSpan,Common::TimeSpan::FromSeconds(30),Dynamic,PUBLIC,src\client\ClientConfig.h,Specify timespan in seconds. The interval at which reporting component re-sends accumulated health reports to Health Manager. 
FabricClient,HealthReportSendBackOffStepInSeconds,int,5,Dynamic,INTERNAL,src\client\ClientConfig.h,The back off interval step added at each successive ServiceTooBusy reply from Health Manager; upto HealthReportSendMaxBackOffInterval. 
FabricClient,HealthReportSendMaxBackOffInterval,TimeSpan,Common::TimeSpan::FromSeconds(30),Dynamic,INTERNAL,src\client\ClientConfig.h,Specify timespan in seconds. The max back off interval that can be applied when Health Manager returns ServiceTooBusy. 
FabricClient,RetryBackoffInterval,TimeSpan,Common::TimeSpan::FromSeconds(3),Dynamic,PUBLIC,src\client\ClientConfig.h,Specify timespan in seconds. The back-off interval before retrying the operation 
FabricClient,MaxFileSenderThreads,uint,10,Static,PUBLIC,src\client\ClientConfig.h,The max number of files that are transferred in parallel 
Common,PerfMonitorInterval,TimeSpan,Common::TimeSpan::FromSeconds(1),Dynamic,PUBLIC,src\Common\CommonConfig.h,Specify timespan in seconds. Performance monitoring interval. Setting to 0 or negative value disables monitoring 
Common,PerfMonitorTraceRatio,uint,1,Dynamic,INTERNAL,src\Common\CommonConfig.h,Performance monitoring trace interval; specified as multiple of PerfMonitorInterval; setting to 0 disables such tracing 
Common,MinResourceStringBufferSizeInWChars,int,256,Static,INTERNAL,src\Common\CommonConfig.h,Minimum buffer allocated for reading resource strings 
Common,MaxResourceStringBufferSizeInWChars,int,32768,Static,INTERNAL,src\Common\CommonConfig.h,Maximum buffer allocated for reading resource strings 
Common,MaxNamingUriLength,int,512,Static,INTERNAL,src\Common\CommonConfig.h,Maximum allowed Naming URI length including the scheme (depends on local store limits) 
Common,SendReplyBufferTimeout,TimeSpan,Common::TimeSpan::FromSeconds(2.0),Dynamic,INTERNAL,src\Common\CommonConfig.h,Specify timespan in seconds. The timeout buffer used to send back partial reply when processing times out 
Common,LockTraceNamePrefix,string,"",Static,INTERNAL,src\Common\CommonConfig.h,The locks to enable in lock traces 
Common,MultipleAsyncCallbackInvokeAssertEnabled,bool,true,Dynamic,INTERNAL,src\Common\CommonConfig.h,
HealthManager,EnableApplicationTypeHealthEvaluation,bool,false,Static,PUBLIC,src\Common\CommonConfig.h,Cluster health evaluation policy: enable per application type health evaluation 
Common,EnableEndpointV2,bool,false,NotAllowed,INTERNAL,src\Common\CommonConfig.h,See 7268869 and 7278671.  Prior to this; some managed system services did not secure their replicator endpoints.  This config is used to determine whether to read in cluster security settings and pass them into the replicator.  For existing clusters; this config is false and can never be changed.  For new clusters; this should be explicitly set to true so the aforementioned services will read cluster security settings and have their replicators will consume them. 
Common,MaxLongStringSize,int,1024 * 1024,Dynamic,INTERNAL,src\Common\CommonConfig.h,Most public APIs parsing string input restrict the incoming string size to ParameterValidator::MaxStringSize (4K). Certain APIs are allowed to accept longer strings using this config. 
FabricNode,NodeId,wstring,L"0",Static,INTERNAL,src\Common\FabricNodeConfig.h,This setting specifies the Id that identifies a node in the cluster for internal communication. Each Node in the cluster must have a unique NodeId. 
FabricNode,NodeVersion,FabricVersionInstance,FabricVersionInstance::Default,Dynamic,INTERNAL,src\Common\FabricNodeConfig.h,This setting specifies the version of the FabricNode. The value is set by FabricDeployer during the deployment time. The version string of the format <CodeVersion>:<ConfigVersion>:<InstanceId>. This setting can be dynamically updated during the configuration only upgrades or on instance id changes. 
FabricNode,NodeAddress,wstring,L"<IPorFullyQualifiedDomainName>:<Port>",Static,INTERNAL,src\Common\FabricNodeConfig.h,Endpoint for federation layer communications between one node and another. If the Node is a Seed/Voter node; then this address is also specified in the votes section of all nodes. Required to be set; default here is an invalid value. 
FabricNode,IPAddressOrFQDN,wstring,L"0.0.0.0",Static,INTERNAL,src\Common\FabricNodeConfig.h,IPAddressOrFQDN property specified in ClusterManifest 
FabricNode,LeaseAgentAddress,wstring,L"<IPorFullyQualifiedDomainName>:<Port>",Static,INTERNAL,src\Common\FabricNodeConfig.h,Endpoint for communication between the lease drivers of different nodes. This endpoint is exclusive to lease traffic. Required to be set; default here is an invalid value. 
FabricNode,RuntimeServiceAddress,wstring,L"0.0.0.0:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,Address for the IPC channel between the Fabric Runtime in the user service host process and Windows Fabric service on this node. 
FabricNode,ClientConnectionAddress,wstring,L"<IPorFullyQualifiedDomainName>:<Port>",Static,INTERNAL,src\Common\FabricNodeConfig.h,This setting specifies the address than Naming Clients can talk to contact the Naming Service in the cluster through this particular node. Not having this address; clients are not able to contact the naming service through this node. Required to be set; default here is an invalid value. 
FabricNode,GatewayIpcAddress,wstring,L"localhost:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,Address for the IPC channel between Fabric gateway and Fabric 
FabricNode,HttpGatewayListenAddress,wstring,L"<IPorFullyQualifiedDomainName>:<Port>",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address where the http gateway listens. Required to be set; default here is an invalid value. 
FabricNode,HttpGatewayProtocol,wstring,L"",Static,INTERNAL,src\Common\FabricNodeConfig.h,
FabricNode,HttpApplicationGatewayListenAddress,wstring,L"<IPorFullyQualifiedDomainName>:<Port>",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address where the http app gateway listens. Required to be set; if the app gateway is enabled. 
FabricNode,HttpApplicationGatewayProtocol,wstring,L"",Static,INTERNAL,src\Common\FabricNodeConfig.h,
FabricNode,SharedLogFilePath,wstring,L"",Static,INTERNAL,src\Common\FabricNodeConfig.h,Path and file name to location to place shared log container. Use L"" for using default path under fabric data root. 
FabricNode,SharedLogFileId,wstring,L"",Static,INTERNAL,src\Common\FabricNodeConfig.h,Unique guid for shared log container. Use L"" if using default path under fabric data root. 
FabricNode,SharedLogFileSizeInMB,int,0,Static,INTERNAL,src\Common\FabricNodeConfig.h,The number of MB to allocate in the shared log container 
FabricNode,ClusterManagerReplicatorAddress,wstring,L"localhost:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address that cluster manager uses to replicate to its other replica. 
FabricNode,RepairManagerReplicatorAddress,wstring,L"localhost:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address that repair manager uses to replicate to its other replica. 
FabricNode,ImageStoreServiceReplicatorAddress,wstring,L"localhost:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address that image store service uses to replicate to its other replica. 
FabricNode,NamingReplicatorAddress,wstring,L"localhost:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address that naming service uses to replicate to its other replica. 
FabricNode,FailoverManagerReplicatorAddress,wstring,L"localhost:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address that Failover manager uses to replicate to its other replica. 
FabricNode,FaultAnalysisServiceReplicatorAddress,wstring,L"localhost:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address that FaultAnalysisService uses to replicate to its other replica. 
FabricNode,UpgradeServiceReplicatorAddress,wstring,L"localhost:0",Static,INTERNAL,src\Common\FabricNodeConfig.h,The address that UpgradeService uses to replicate to its other replica. 
